iter	Passed	Remaining
156	16491	88551
157	16593	88426
158	16686	88261
159	16793	88164
160	16878	87957
161	16969	87780
162	17061	87608
163	17156	87453
164	17265	87372
165	17339	87116
166	17445	87019
167	17560	86965
168	17659	86833
169	17739	86611
170	17827	86425
171	17912	86231
172	18008	86085
173	18116	86001
174	18207	85834
175	18286	85614
176	18382	85475
177	18488	85378
178	18595	85288
179	18684	85119
180	18772	84944
181	18862	84779
182	18948	84596
183	19035	84417
184	19147	84353
185	19248	84237
186	19357	84157
187	19452	84016
188	19535	83827
189	19624	83661
190	19741	83617
191	19851	83542
192	19948	83409
193	20043	83275
194	20142	83153
195	20225	82967
196	20322	82837
197	20401	82634
198	20492	82485
199	20589	82356
200	20689	82244
201	20786	82118
202	20885	81998
203	20977	81852
204	21069	81707
205	21173	81609
206	21265	81466
207	21350	81294
208	21441	81147
209	21523	80967
210	21617	80836
211	21703	80671
212	21792	80520
213	21895	80420
214	21982	80262
215	22081	80148
216	22209	80137
217	22311	80034
218	22416	79940
219	22515	79827
220	22633	79781
221	22728	79652
222	22830	79548
223	22937	79462
224	23033	79335
225	23141	79255
226	23228	79098
227	23328	78989
228	23432	78891
229	23519	78740
230	23613	78607
231	23708	78484
232	23831	78450
233	23939	78365
234	24055	78307
235	24158	78206
236	24273	78145
237	24388	78084
238	24486	77969
239	24571	77811
240	24657	77656
241	24775	77603
242	24882	77513
243	24980	77399
244	25109	77378
245	25210	77271
246	25322	77196
247	25432	77117
248	25538	77026
249	25659	76979
250	25767	76890
251	25869	76786
252	25965	76665
253	26070	76568
254	26166	76446
255	26282	76384
256	26386	76283
257	26482	76162
258	26583	76055
259	26685	75951
260	26783	75835
261	26887	75735
262	26997	75655
263	27104	75564
264	27207	75462
265	27322	75392
266	27438	75326
267	27550	75251
268	27671	75195
269	27767	75076
270	27867	74965
271	27962	74840
272	28059	74723
273	28149	74586
274	28245	74464
275	28324	74301
276	28434	74216
277	28530	74096
278	28632	73992
279	28739	73902
280	28854	73830
281	28944	73696
282	29042	73580
283	29150	73491
284	29249	73379
285	29335	73236
286	29438	73133
287	29528	73001
288	29623	72880
289	29704	72724
290	29804	72616
291	29898	72494
292	30013	72421
293	30125	72343
294	30235	72258
295	30328	72133
296	30442	72057
297	30547	71960
298	30645	71848
299	30741	71730
300	30839	71616
301	30940	71512
302	31053	71432
303	31152	71323
304	31247	71203
305	31341	71082
306	31459	71014
307	31588	70972
308	31695	70878
309	31801	70784
310	31904	70681
311	32016	70599
312	32091	70436
313	32191	70330
314	32277	70190
315	32379	70086
316	32454	69926
317	32547	69804
318	32636	69671
319	32746	69586
320	32838	69462
321	32945	69370
322	33046	69264
323	33163	69193
324	33252	69062
325	33372	68996
326	33465	68874
327	33563	68763
328	33664	68660
329	33755	68533
330	33866	68448
331	33958	68326
332	34053	68210
333	34149	68093
334	34236	67961
335	34327	67838
336	34418	67713
337	34536	67642
338	34635	67534
339	34728	67414
340	34842	67334
341	34939	67223
342	35047	67131
343	35143	67018
344	35248	66921
345	35342	66802
346	35428	66670
347	35550	66605
348	35654	66507
349	35767	66425
350	35856	66299
351	35947	66176
352	36062	66097
353	36143	65956
354	36245	65854
355	36365	65785
356	36468	65684
357	36556	65557
358	36640	65421
359	36727	65293
360	36817	65170
361	36918	65066
362	37033	64987
363	37135	64885
364	37229	64769
365	37320	64648
366	37416	64536
367	37510	64420
368	37586	64274
369	37690	64175
370	37788	64066
371	37889	63963
372	37977	63839
373	38082	63742
374	38194	63656
375	38293	63551
376	38380	63424
377	38473	63307
378	38561	63184
379	38667	63089
380	38752	62960
381	38866	62878
382	38968	62777
383	39066	62669
384	39176	62579
385	39261	62452
386	39371	62364
387	39476	62267
388	39565	62144
389	39652	62020
390	39736	61892
391	39845	61800
392	39982	61754
393	40084	61653
394	40201	61573
395	40304	61475
396	40405	61371
397	40498	61256
398	40596	61149
399	40707	61061
400	40813	60965
401	40925	60879
402	41012	60755
403	41114	60654
404	41237	60583
405	41342	60485
406	41447	60388
407	41562	60306
408	41663	60202
409	41756	60088
410	41852	59978
411	41954	59877
412	42056	59775
413	42159	59675
414	42272	59589
415	42361	59469
416	42458	59359
417	42552	59248
418	42651	59142
419	42746	59031
420	42839	58916
421	42926	58794
422	43016	58676
423	43121	58579
424	43227	58483
425	43330	58383
426	43445	58299
427	43548	58200
428	43645	58092
429	43747	57991
430	43826	57859
431	43931	57762
432	44055	57689
433	44153	57582
434	44254	57480
435	44359	57382
436	44464	57284
437	44572	57190
438	44667	57081
439	44765	56973
440	44864	56869
441	44964	56765
442	45070	56668
443	45151	56541
444	45275	56467
445	45384	56374
446	45484	56271
447	45588	56172
448	45681	56059
449	45789	55964
450	45896	55870
451	45993	55761
452	46096	55661
453	46178	55536
454	46276	55429
455	46377	55327
456	46484	55231
457	46582	55125
458	46678	55018
459	46786	54923
460	46873	54804
461	46987	54717
462	47102	54631
463	47215	54541
464	47324	54448
465	47430	54351
466	47508	54223
467	47597	54106
468	47707	54014
469	47802	53905
470	47920	53821
471	48009	53706
472	48096	53586
473	48192	53479
474	48292	53375
475	48412	53294
476	48533	53213
477	48624	53100
478	48719	52991
479	48822	52890
480	48923	52788
481	49012	52672
482	49111	52568
483	49217	52471
484	49305	52355
485	49399	52245
486	49516	52160
487	49625	52065
488	49713	51949
489	49811	51844
490	49903	51733
491	49992	51617
492	50097	51520
493	50205	51425
494	50309	51325
495	50415	51229
496	50501	51110
497	50592	50998
498	50679	50882
499	50772	50772
500	50866	50663
501	50961	50555
502	51064	50454
503	51139	50328
504	51253	50238
505	51351	50133
506	51457	50036
507	51557	49933
508	51662	49835
509	51742	49713
510	51845	49613
511	51930	49496
512	52027	49390
513	52133	49293
514	52233	49191
515	52327	49081
516	52430	48982
517	52522	48872
518	52616	48763
519	52740	48683
520	52842	48582
521	52963	48499
522	53047	48382
523	53136	48269
524	53233	48163
525	53348	48074
526	53453	47976
527	53549	47869
528	53666	47782
529	53765	47678
530	53870	47580
531	53978	47484
532	54064	47370
533	54154	47258
534	54246	47149
535	54360	47058
536	54465	46960
537	54563	46855
538	54648	46740
539	54745	46635
540	54861	46545
541	54971	46451
542	55075	46352
543	55182	46255
544	55271	46144
545	55380	46048
546	55478	45944
547	55581	45844
548	55680	45741
549	55792	45648
550	55887	45541
551	55987	45438
552	56093	45341
553	56201	45245
554	56295	45137
555	56407	45044
556	56517	44949
557	56630	44858
558	56724	44750
559	56831	44653
560	56920	44541
561	57040	44454
562	57159	44367
563	57278	44279
564	57369	44169
565	57473	44069
566	57590	43979
567	57712	43894
568	57821	43798
569	57910	43686
570	58010	43584
571	58122	43490
572	58239	43399
573	58333	43292
574	58432	43189
575	58538	43090
576	58653	42998
577	58755	42897
578	58841	42784
579	58922	42667
580	59032	42572
581	59155	42486
582	59280	42401
583	59376	42295
584	59491	42203
585	59593	42101
586	59695	42000
587	59789	41893
588	59884	41787
589	59987	41686
590	60113	41601
591	60210	41496
592	60321	41401
593	60429	41303
594	60535	41204
595	60651	41112
596	60752	41010
597	60862	40914
598	60975	40819
599	61066	40711
600	61172	40612
601	61335	40550
602	61441	40451
603	61544	40350
604	61650	40251
605	61760	40154
606	61873	40059
607	61999	39973
608	62117	39881
609	62240	39793
610	62362	39704
611	62513	39632
612	62627	39537
613	62731	39436
614	62840	39338
615	62959	39247
616	63056	39141
617	63149	39033
618	63259	38936
619	63371	38840
620	63490	38748
621	63603	38652
622	63696	38545
623	63789	38437
624	63895	38337
625	63988	38229
626	64099	38132
627	64204	38031
628	64310	37932
629	64421	37834
630	64534	37738
631	64647	37642
632	64745	37538
633	64835	37428
634	64920	37316
635	65012	37208
636	65103	37099
637	65211	37000
638	65325	36905
639	65421	36799
640	65519	36694
641	65606	36584
642	65722	36489
643	65816	36383
644	65896	36268
645	66005	36170
646	66114	36071
647	66207	35964
648	66318	35867
649	66464	35788
650	66554	35679
651	66639	35568
652	66734	35462
653	66832	35358
654	66938	35257
655	67026	35148
656	67126	35044
657	67227	34941
658	67310	34829
659	67423	34733
660	67522	34629
661	67624	34527
662	67729	34426
663	67855	34336
664	67960	34235
665	68063	34133
666	68161	34029
667	68249	33920
668	68358	33821
669	68463	33720
670	68559	33615
671	68655	33510
672	68766	33412
673	68859	33305
674	68953	33200
675	69046	33093
676	69153	32993
677	69247	32887
678	69365	32792
679	69469	32691
680	69575	32591
681	69676	32488
682	69757	32376
683	69848	32269
684	69959	32171
685	70066	32071
686	70172	31970
687	70273	31868
688	70382	31768
689	70477	31663
690	70585	31564
691	70673	31455
692	70786	31358
693	70905	31263
694	71006	31161
695	71110	31059
696	71205	30954
697	71316	30855
698	71408	30749
699	71502	30644
700	71600	30539
701	71708	30440
702	71791	30330
703	71875	30220
704	71974	30117
705	72062	30009
706	72164	29907
707	72256	29800
708	72348	29694
709	72444	29590
710	72563	29494
711	72663	29391
712	72790	29299
713	72907	29203
714	73020	29106
715	73137	29010
716	73237	28906
717	73346	28807
718	73446	28704
719	73531	28595
720	73622	28488
721	73715	28383
722	73818	28281
723	73927	28182
724	74033	28081
725	74131	27978
726	74218	27870
727	74321	27768
728	74410	27661
729	74529	27565
730	74627	27462
731	74733	27361
732	74855	27266
733	74960	27165
734	75082	27070
735	75184	26968
736	75301	26871
737	75414	26773
738	75533	26676
739	75630	26572
740	75750	26476
741	75844	26371
742	75949	26270
743	76040	26164
744	76147	26063
745	76247	25960
746	76331	25852
747	76416	25744
748	76501	25636
749	76602	25534
750	76705	25432
