iter	MultiClass
0	1.025422156
1	0.9680166369
2	0.9213342509
3	0.8833819687
4	0.8525802549
5	0.8154627794
6	0.7918797945
7	0.7720678632
8	0.7542917165
9	0.7310324342
10	0.7179371157
11	0.7061539779
12	0.6874263337
13	0.6724871649
14	0.6587272874
15	0.6476183477
16	0.6367396831
17	0.6276256037
18	0.6155672948
19	0.6057794058
20	0.5963247235
21	0.5879162291
22	0.5837009404
23	0.5779627845
24	0.5715205024
25	0.5681465789
26	0.5628966813
27	0.5588175329
28	0.5540582491
29	0.5505209834
30	0.5463328355
31	0.5435205719
32	0.5396613859
33	0.5365466051
34	0.5346103385
35	0.5331545987
36	0.5307457319
37	0.527956883
38	0.525877921
39	0.5238229886
40	0.5217247156
41	0.5206566579
42	0.5179717457
43	0.5165401851
44	0.5150257893
45	0.513253157
46	0.5110410182
47	0.509478293
48	0.5078453101
49	0.5061416032
50	0.5046633251
51	0.5025494082
52	0.5013255809
53	0.5002990891
54	0.4986369251
55	0.4984572971
56	0.4967269488
57	0.4956847369
58	0.494316371
59	0.4934330536
60	0.4926244271
61	0.4913445434
62	0.4907499577
63	0.4897889227
64	0.48916205
65	0.4882512012
66	0.4874629789
67	0.4860091437
68	0.4846695885
69	0.4841344432
70	0.4830010583
71	0.4819416169
72	0.4807289247
73	0.4803757543
74	0.4796105547
75	0.4788695105
76	0.4778046476
77	0.4772406786
78	0.4761364903
79	0.4744788013
80	0.4734556007
81	0.4721837569
82	0.4715640416
83	0.4710634073
84	0.4702631795
85	0.4696777102
86	0.4670541413
87	0.4659314034
88	0.4647506183
89	0.4638861139
90	0.4632852121
91	0.4626308379
92	0.4623147569
93	0.4611799209
94	0.4605659455
95	0.4599720901
96	0.4598205372
97	0.4592926953
98	0.4587742218
99	0.4577360206
100	0.4570905329
101	0.4561777471
102	0.4550557625
103	0.4546438063
104	0.4539204221
105	0.4532042229
106	0.4521499414
107	0.4517387349
108	0.451188171
109	0.4504127522
110	0.4497744121
111	0.4490106156
112	0.4474880199
113	0.4469280837
114	0.4465384075
115	0.4457085037
116	0.4451195065
117	0.4441085097
118	0.4429290162
119	0.4421099174
120	0.4416982642
121	0.4411096324
122	0.4402752059
123	0.4392093307
124	0.438320286
125	0.4376886733
126	0.4371776888
127	0.436628992
128	0.4361375474
129	0.4356946917
130	0.4348161169
131	0.4338880501
132	0.4329749316
133	0.4324630845
134	0.4315947293
135	0.4306132417
136	0.4289982313
137	0.4283576616
138	0.4279630773
139	0.4265215142
140	0.4260729649
141	0.4241532935
142	0.4237208817
143	0.4230980922
144	0.4220030221
145	0.4211780523
146	0.4203559263
147	0.4198623731
148	0.4194285261
149	0.4190119828
150	0.4183879736
151	0.4175575036
152	0.4165711292
153	0.4161234778
154	0.4153710102
155	0.4145198278
156	0.4135034986
157	0.4130969627
158	0.4122407143
159	0.4115544132
160	0.4107857632
161	0.4099201901
162	0.4093598974
163	0.4089509309
164	0.4086494542
165	0.4079871716
166	0.4077289173
167	0.4073638902
168	0.4067621855
169	0.4057569272
170	0.405037894
171	0.4041756482
172	0.4038078814
173	0.4033654734
174	0.4019486962
175	0.401543613
176	0.4007716572
177	0.4002393351
178	0.3998709033
179	0.3988376081
180	0.3978453593
181	0.3970210489
182	0.3963632381
183	0.3958026071
184	0.3956332438
185	0.395140604
186	0.3947534552
187	0.3938621265
188	0.3932971812
189	0.3925040299
190	0.3921041803
191	0.3918038962
192	0.3912685441
193	0.3908725666
194	0.3904804341
195	0.3896736844
196	0.3890881269
197	0.3884174081
198	0.3879837728
199	0.3876199287
200	0.3871142393
201	0.386502988
202	0.3859095445
203	0.385338684
204	0.3848180541
205	0.3842860199
206	0.3836903309
207	0.3832498971
208	0.3827088563
209	0.3815064714
210	0.3806760395
211	0.3801422401
212	0.379727443
213	0.3794294221
214	0.3783265734
215	0.377745115
216	0.3773664935
217	0.3768974986
218	0.375896669
219	0.3754296094
220	0.3749680971
221	0.3742529266
222	0.3736052461
223	0.3729909606
224	0.3725576004
225	0.3722926566
226	0.371711792
227	0.3709742528
228	0.3706503196
229	0.3696985727
230	0.3691242442
231	0.3683925962
232	0.3680579749
233	0.3673251658
234	0.3668295255
235	0.3664135479
236	0.3660844921
237	0.3656406108
238	0.3651706292
239	0.364608749
240	0.3639884944
241	0.3635463356
242	0.3630290674
243	0.3621069466
244	0.3617547242
245	0.3604352439
246	0.3603095813
247	0.3597047169
248	0.3589907714
249	0.3587676965
250	0.3582404706
251	0.357852146
252	0.3572258718
253	0.3566671033
254	0.3562296183
255	0.3559464394
256	0.355287912
257	0.3550087758
258	0.3545920771
259	0.3537228673
260	0.352797872
261	0.3523515983
262	0.3512813731
263	0.3507695453
264	0.3503412229
265	0.3499027594
266	0.3496830905
267	0.3492106346
268	0.3485404358
269	0.3477188521
270	0.3470582199
271	0.3465866135
272	0.3461565255
273	0.3454549851
274	0.3449365381
275	0.343683526
276	0.34326836
277	0.3430906897
278	0.3417323437
279	0.3414278844
280	0.3412491337
281	0.340858774
282	0.3402719634
283	0.3399529608
284	0.3396536072
285	0.3390364806
286	0.3380527257
287	0.3376096761
288	0.3369857416
289	0.3361109253
290	0.3359202388
291	0.3355801828
292	0.3354215497
293	0.3347808932
294	0.3345147463
295	0.3339932706
296	0.3336333959
297	0.3329943269
298	0.3325419785
299	0.3318489998
300	0.3316715713
301	0.3312727074
302	0.3309877709
303	0.3306415316
304	0.3302866332
305	0.3297515957
306	0.3295088744
307	0.3293058093
308	0.3288436585
309	0.3285332937
310	0.3280287543
311	0.327600681
312	0.3270696223
313	0.3264524405
314	0.3257858291
315	0.3252885319
316	0.3243767966
317	0.324002368
318	0.3235071209
319	0.3233348154
320	0.3226748874
321	0.3223229406
322	0.3219090589
323	0.3215936042
324	0.3211992693
325	0.3208570573
326	0.320480774
327	0.3201796607
328	0.3199348189
329	0.3195544244
330	0.3193376872
331	0.3190453756
332	0.318611791
333	0.3182819516
334	0.3180017542
335	0.317332622
336	0.3170230087
337	0.3166954927
338	0.3163946295
339	0.3160480218
340	0.3155606732
341	0.3150067916
342	0.3146322719
343	0.3136868148
344	0.3130698805
345	0.3126368521
346	0.3120655249
347	0.3119825193
348	0.3115576254
349	0.3110756353
350	0.3105243494
351	0.3099568836
352	0.3096762393
353	0.3092286044
354	0.3088473857
355	0.3087406096
356	0.3085044288
357	0.3077023289
358	0.307323001
359	0.3066860505
360	0.3062784284
361	0.3059343017
362	0.3056475826
363	0.3053089566
364	0.3048013118
365	0.3042453595
366	0.3039364162
367	0.3036134982
368	0.3030860037
369	0.302710845
370	0.3023450369
371	0.3012400825
372	0.3008867465
373	0.3004699984
374	0.2999368738
375	0.2996423701
376	0.299356328
377	0.2989052841
378	0.2986528618
379	0.2984173836
380	0.2978935721
381	0.2976152915
382	0.2972115472
383	0.2969081253
384	0.2966620415
385	0.2961442345
386	0.2954549147
387	0.2951327842
388	0.2948363458
389	0.2942621134
390	0.2936903318
391	0.2934296494
392	0.2932242993
393	0.2929681843
394	0.2926712194
395	0.2924682122
396	0.2921580684
397	0.2915523419
398	0.2909058976
399	0.2905353549
400	0.29011001
401	0.2900293292
402	0.2896714586
403	0.2894523982
404	0.2892517604
405	0.2888870378
406	0.2883761986
407	0.2881074842
408	0.2877800073
409	0.2872829737
